time,open,high,low,close,tick_volume,spread,real_volume
2025-08-29 02:30:00,113100.000000,113330.000000,113035.000000,113310.000000,1618,3500,0
2025-08-29 03:00:00,113310.000000,113400.000000,113055.000000,113340.000000,2284,4000,0
2025-08-29 03:30:00,113330.000000,113360.000000,112835.000000,112935.000000,1934,4000,0
2025-08-29 04:00:00,112935.000000,113010.000000,112150.000000,112265.000000,2160,4000,0
2025-08-29 04:30:00,112275.000000,112450.000000,112140.000000,112185.000000,1681,4000,0
2025-08-29 05:00:00,112180.000000,112500.000000,112110.000000,112240.000000,1586,4000,0
2025-08-29 05:30:00,112245.000000,112315.000000,112070.000000,112140.000000,1471,4000,0
2025-08-29 06:00:00,112140.000000,112370.000000,112010.000000,112320.000000,1393,4000,0
2025-08-29 06:30:00,112325.000000,112535.000000,112270.000000,112400.000000,889,4000,0
2025-08-29 07:00:00,112405.000000,112570.000000,112305.000000,112365.000000,952,4000,0
2025-08-29 07:30:00,112360.000000,112365.000000,112085.000000,112180.000000,1066,4000,0
2025-08-29 08:00:00,112180.000000,112275.000000,111915.000000,111965.000000,1125,3500,0
2025-08-29 08:30:00,111955.000000,111975.000000,111775.000000,111965.000000,1293,3000,0
2025-08-29 09:00:00,111965.000000,112055.000000,111620.000000,111630.000000,1030,3000,0
2025-08-29 09:30:00,111620.000000,111945.000000,111560.000000,111915.000000,2839,3000,0
2025-08-29 10:00:00,111915.000000,111925.000000,110770.000000,110790.000000,2041,4000,0
2025-08-29 10:30:00,110830.000000,111010.000000,110525.000000,110655.000000,1974,4000,0
2025-08-29 11:00:00,110660.000000,110930.000000,110555.000000,110630.000000,3892,4000,0
2025-08-29 11:30:00,110640.000000,110795.000000,110235.000000,110270.000000,2865,4000,0
2025-08-29 12:00:00,110265.000000,110485.000000,110060.000000,110415.000000,2724,4000,0
2025-08-29 12:30:00,110405.000000,110590.000000,110265.000000,110420.000000,1440,4000,0
2025-08-29 13:00:00,110415.000000,110670.000000,110385.000000,110590.000000,1377,4000,0
2025-08-29 13:30:00,110585.000000,110705.000000,110475.000000,110680.000000,1173,4000,0
2025-08-29 14:00:00,110675.000000,110815.000000,110530.000000,110705.000000,1473,4000,0
2025-08-29 14:30:00,110710.000000,110775.000000,110490.000000,110765.000000,1156,4000,0
2025-08-29 15:00:00,110760.000000,111060.000000,110725.000000,111040.000000,1333,4000,0
2025-08-29 15:30:00,111005.000000,112085.000000,111005.000000,111390.000000,3475,4000,0
2025-08-29 16:00:00,111385.000000,111445.000000,111040.000000,111145.000000,2242,3500,0
2025-08-29 16:30:00,111145.000000,111200.000000,109440.000000,109640.000000,7360,4000,0
2025-08-29 17:00:00,109630.000000,110040.000000,108765.000000,109115.000000,7620,4000,0
2025-08-29 17:30:00,109115.000000,109390.000000,108580.000000,108705.000000,5327,4000,0
2025-08-29 18:00:00,108705.000000,109255.000000,108665.000000,108915.000000,4373,3500,0
2025-08-29 18:30:00,108915.000000,109165.000000,108760.000000,108935.000000,3782,3500,0
2025-08-29 19:00:00,108940.000000,109350.000000,108685.000000,109060.000000,3679,3500,0
2025-08-29 19:30:00,109065.000000,109460.000000,109065.000000,109315.000000,2402,3000,0
2025-08-29 20:00:00,109295.000000,109340.000000,108740.000000,109010.000000,3261,3500,0
2025-08-29 20:30:00,109015.000000,109225.000000,108925.000000,109060.000000,2665,3000,0
2025-08-29 21:00:00,109065.000000,109095.000000,108660.000000,108710.000000,2712,3000,0
2025-08-29 21:30:00,108710.000000,108835.000000,108675.000000,108715.000000,1537,3000,0
