ts,symbol,tf,price,rsi14,ema50,p_up,signal,source
1763492088.797246,BTCX25.sim,H1,93607.5,81.05263157894737,93711.71379075239,,0,rule,20,0
1763492302.3792777,XAUZ25.sim,H1,4073.96,74.07853166842166,4068.8067221203582,,0,rule,20,0,H4,0
1763492302.3792777,US30Z25.sim,H1,46319.65,41.32389349780661,46819.97950248552,,0,rule,20,0,H4,-1
1763492302.3792777,US100Z25.sim,H1,24703.19,48.78403459426354,24921.747268350045,,0,rule,20,0,H4,0
1763492302.3792777,US500Z25.sim,H1,6665.25,50.8680635505412,6708.496999692547,,0,rule,20,0,H4,0
1763492302.3792777,BTCX25.sim,H1,93387.5,80.2919708029197,93703.086339772,,0,rule,20,0,H4,-1
1763492404.1741,XAUZ25.sim,H1,4073.14,72.09640892914895,4068.9473303006353,,0,rule,21,0
1763492404.1741,US30Z25.sim,H1,46325.35,42.588100383716245,46800.52856609433,,0,rule,21,0
1763492404.1741,US100Z25.sim,H1,24712.44,50.227499072428664,24913.71762672353,,0,rule,21,0
1763492404.1741,US500Z25.sim,H1,6666.6,52.50471698113226,6706.87269202306,,0,rule,21,0
1763492404.1741,BTCX25.sim,H1,93395.0,79.67441860465117,93691.75436754632,,0,rule,21,0
1763496012.6597316,XAUZ25.sim,H1,4082.26,80.2450980392156,4069.8074105102587,,0,rule,22,0
1763496012.6597316,US30Z25.sim,H1,46403.75,48.531372296047785,46788.03664495389,,0,rule,22,0
1763496012.6597316,US100Z25.sim,H1,24770.94,55.39116121020758,24910.41612182472,,0,rule,22,0
1763496012.6597316,US500Z25.sim,H1,6679.63,57.652943083406726,6706.300796509115,,0,rule,22,0
1763496012.6597316,BTCX25.sim,H1,93275.0,86.42964446670005,93669.66353575638,,0,rule,22,0
1763499621.1428063,XAUZ25.sim,H1,4069.93,71.72859450726959,4069.3329728043864,,0,rule,23,0
1763499621.1428063,US30Z25.sim,H1,46153.55,37.76539180814822,46754.41403380359,,0,rule,23,0
1763499621.1428063,US100Z25.sim,H1,24580.19,45.02395159257071,24890.33233197674,,0,rule,23,0
1763499621.1428063,US500Z25.sim,H1,6635.48,46.20084910526513,6701.931868011499,,0,rule,23,0
1763499621.1428063,BTCX25.sim,H1,92880.0,76.46730016769145,93623.34845583196,,0,rule,23,0
1763505746.7276175,XAUZ25.sim,H1,4067.36,70.45833965700402,4069.232188490661,,0,rule,23,0,H4,0
1763505746.7276175,US30Z25.sim,H1,46109.75,36.59004512026179,46752.69638674476,,0,rule,23,0,H4,-1
1763505746.7276175,US100Z25.sim,H1,24527.06,43.09952293991296,24888.248802564976,,0,rule,23,0,H4,-1
1763505746.7276175,US500Z25.sim,H1,6626.05,44.53453683163772,6701.562064089931,,0,rule,23,0,H4,-1
1763505746.7276175,BTCX25.sim,H1,92612.5,72.2693531283139,93612.85825975353,,0,rule,23,0,H4,-1
1763506862.061398,XAUZ25.sim,H1,4068.71,64.69574680330086,4069.2117920366395,,0,rule,1,0,H4,-1
1763506862.061398,US30Z25.sim,H1,46133.4,34.509962205995805,46728.41012418895,,0,rule,1,0,H4,-1
1763506862.061398,US100Z25.sim,H1,24548.13,38.9967484022322,24874.910842819783,,0,rule,1,0,H4,-1
1763506862.061398,US500Z25.sim,H1,6630.4,41.1181939989443,6698.771395216653,,0,rule,1,0,H4,-1
1763506892.169534,BTCX25.sim,H1,93155.0,70.97669256381798,93594.90525759618,,0,rule,1,0,H4,-1
1763510184.222037,XAUZ25.sim,H1,4074.54,66.4685615848405,4069.44041948762,,0,rule,1,0,H4,-1
